id;question;option_a;option_b;option_c;option_d;answer_letter
1;¿Cómo se llama el signo ortográfico que representa gráficamente el acento?;Acento;Tilde;Diéresis;Apóstrofo;B
2;¿Cuántas combinaciones de diptongos existen en el idioma español según el texto?;Diez;Doce;Catorce;Dieciséis;C
3;¿Qué tipo de diptongo se forma con la combinación vocal fuerte + vocal débil?;Diptongo creciente;Diptongo decreciente;Diptongo homogéneo;Diptongo mixto;B
4;¿Qué tipo de diptongo se forma con la combinación vocal débil + vocal fuerte?;Diptongo decreciente;Diptongo creciente;Diptongo homogéneo;Diptongo heterogéneo;B
5;¿Qué tipo de diptongo se forma con la combinación vocal débil + vocal débil?;Diptongo creciente;Diptongo decreciente;Diptongo homogéneo;Diptongo irregular;C
6;¿Cuáles son las vocales débiles o cerradas?;a-e;e-o;i-u;a-o;C
7;¿Cuáles son las vocales fuertes o abiertas?;i-u;a-e-o;e-i-o;a-i-u;B
8;"¿Qué palabra contiene un diptongo decreciente con la combinación ""ai""?";Viaje;Bailar;Ciudad;Cuadro;B
9;"¿Qué palabra contiene un diptongo creciente con la combinación ""ie""?";Reina;Tierra;Boina;Pausa;B
10;"¿Qué palabra contiene un diptongo homogéneo con la combinación ""ui""?";Viaje;Fuerza;Cuidado;Pausa;C
11;¿Qué impide la formación del diptongo según el texto?;La h intermedia;El uso de h intermedia no impide la formación;La presencia de consonantes;Las vocales iguales;B
12;¿Cuántas vocales se pronuncian en un triptongo?;Dos;Tres;Cuatro;Cinco;B
13;¿Qué tipo de vocales conforman un triptongo?;VF+VF+VF;VD+VD+VD;VD+VF+VD;VF+VD+VF;C
14;¿Qué palabra del texto es un ejemplo de triptongo?;Prohibido;Estudiáis;Poeta;Canción;B
15;¿Qué es el hiato?;La reunión de dos vocales en la misma sílaba;El encuentro de dos vocales que pertenecen a sílabas distintas;La presencia de tres vocales juntas;El acento prosódico;B
16;¿Cuántos tipos de hiato existen según el texto?;Uno;Dos;Tres;Cuatro;B
17;¿Qué tipo de hiato se forma cuando se encuentran dos vocales fuertes juntas?;Hiato acentual;Hiato simple;Hiato formal;Hiato irregular;C
18;¿Qué tipo de hiato se forma cuando la vocal débil lleva obligatoriamente tilde?;Hiato formal;Hiato acentual;Hiato simple;Hiato básico;B
19;¿En qué sílaba llevan el acento las palabras agudas?;Penúltima;Última;Antepenúltima;Antes de la antepenúltima;B
20;¿Cuándo llevan tilde las palabras agudas?;Cuando terminan en consonante;Cuando terminan en n, s o vocal;Siempre llevan tilde;Nunca llevan tilde;B
21;¿En qué sílaba llevan el acento las palabras graves o llanas?;Última;Penúltima;Antepenúltima;Antes de la antepenúltima;B
22;¿Cuándo llevan tilde las palabras graves?;Cuando terminan en n, s o vocal;Cuando terminan en cualquier consonante menos n, s o vocal;Siempre llevan tilde;Nunca llevan tilde;B
23;¿En qué sílaba llevan el acento las palabras esdrújulas?;Última;Penúltima;Antepenúltima;Antes de la antepenúltima;C
24;¿Cuándo llevan tilde las palabras esdrújulas?;Cuando terminan en vocal;Cuando terminan en consonante;Siempre llevan tilde;Nunca llevan tilde;C
25;¿En qué posición llevan el acento las palabras sobreesdrújulas?;En la antepenúltima sílaba;En la penúltima sílaba;Antes de la antepenúltima sílaba;En la última sílaba;C
26;¿Cuándo llevan tilde las palabras sobreesdrújulas?;Solo cuando terminan en vocal;Solo cuando terminan en consonante;Siempre llevan tilde;Nunca llevan tilde;C
27;¿Qué son los monosílabos?;Palabras de dos sílabas;Palabras de una sola sílaba;Palabras de tres sílabas;Palabras sin sílabas;B
28;¿Por qué algunos monosílabos llevan tilde diacrítica?;Para indicar que son palabras largas;Para diferenciar su función gramatical;Para señalar palabras extranjeras;Para indicar que son verbos;B
29;"¿Cuándo se usa ""mi"" sin tilde?";Como pronombre personal;Como adjetivo posesivo o nota musical;Como verbo;Como adverbio;B
30;"¿Cuándo se usa ""mí"" con tilde?";Como adjetivo posesivo;Como nota musical;Como pronombre personal después de preposición;Como verbo;C
31;"¿Cuándo se usa ""tu"" sin tilde?";Como pronombre personal;Como adjetivo posesivo;Como verbo;Como adverbio;B
32;"¿Cuándo se usa ""tú"" con tilde?";Como adjetivo posesivo;Como pronombre personal;Como verbo;Como artículo;B
33;"¿Cuándo se usa ""el"" sin tilde?";Como pronombre personal;Como verbo;Como artículo determinado;Como adverbio;C
34;"¿Cuándo se usa ""él"" con tilde?";Como artículo;Como pronombre personal;Como verbo;Como adjetivo;B
35;"¿Cuándo se usa ""de"" sin tilde?";Como verbo dar;Como preposición;Como pronombre;Como adverbio;B
36;"¿Cuándo se usa ""dé"" con tilde?";Como preposición;Como pronombre;Como verbo dar;Como artículo;C
37;"¿Cuándo se usa ""te"" sin tilde?";Como sustantivo (infusión);Como pronombre personal;Como verbo;Como adjetivo;B
38;"¿Cuándo se usa ""té"" con tilde?";Como pronombre;Como verbo;Como sustantivo (infusión);Como adverbio;C
39;"¿Cuándo se usa ""se"" sin tilde?";Como verbo saber o ser;Como pronombre reflexivo;Como adverbio;Como artículo;B
40;"¿Cuándo se usa ""sé"" con tilde?";Como pronombre reflexivo;Como adjetivo;Como verbo saber o ser;Como preposición;C
41;"¿Cuándo se usa ""mas"" sin tilde?";Como adverbio de cantidad;Como conjunción adversativa;Como verbo;Como pronombre;B
42;"¿Cuándo se usa ""más"" con tilde?";Como conjunción;Como adverbio de cantidad;Como verbo;Como preposición;B
43;"¿Cuándo se usa ""si"" sin tilde?";Como adverbio de afirmación o pronombre;Como conjunción condicional o nota musical;Como verbo;Como artículo;B
44;"¿Cuándo se usa ""sí"" con tilde?";Como conjunción o nota musical;Como verbo;Como adverbio de afirmación o pronombre personal;Como preposición;C
45;"¿Cuándo se usa ""aun"" sin tilde?";Cuando puede sustituirse por todavía;Cuando puede sustituirse por incluso o inclusive;Como verbo;Como artículo;B
46;"¿Cuándo se usa ""aún"" con tilde?";Cuando puede sustituirse por incluso;Cuando puede sustituirse por todavía;Como verbo;Como preposición;B
47;¿Qué palabra es un ejemplo de aguda con tilde según el texto?;Silla;Café;Mármol;Química;B
48;¿Qué palabra es un ejemplo de grave con tilde según el texto?;Colibrí;Balón;Lápiz;Música;C
49;¿Qué palabra es un ejemplo de esdrújula según el texto?;Cantar;Papel;Química;Comer;C
50;¿Qué palabra es un ejemplo de sobreesdrújula según el texto?;Teléfono;Fácilmente;Mármol;Perdió;B
51;¿Qué tipo de acento no se representa gráficamente?;Acento ortográfico;Acento prosódico;Acento diacrítico;Acento tónico;B
52;¿Cómo se llama la sílaba que recibe la mayor fuerza de voz?;Sílaba átona;Sílaba débil;Sílaba tónica;Sílaba secundaria;C
53;"¿Qué palabra contiene el diptongo ""au""?";Tierra;Pausa;Viaje;Ciudad;B
54;"¿Qué palabra contiene el diptongo ""ei""?";Reina;Cuadro;Boina;Fuerza;A
55;"¿Qué palabra contiene el diptongo ""oi""?";Bailar;Neutral;Boina;Viaje;C
56;"¿Qué palabra contiene el diptongo ""ua""?";Tierra;Cuadro;Fuerza;Canción;B
57;"¿Qué palabra contiene el diptongo ""ue""?";Pausa;Neutral;Fuerza;Cuadro;C
58;"¿Qué palabra contiene el diptongo ""io""?";Canción;Viaje;Tierra;Cuadro;A
59;¿Qué palabra es ejemplo de hiato formal según el texto?;Día;Raúl;Cooperar;Conocía;C
60;¿Qué palabra es ejemplo de hiato acentual según el texto?;Teatro;León;Fría;Poeta;C
61;¿Qué característica tiene el hiato acentual?;Dos vocales fuertes juntas;La vocal débil lleva obligatoriamente tilde;Tres vocales juntas;No lleva tilde;B
62;"¿Por qué la palabra ""mas"" sin tilde puede sustituirse por otra palabra?";Por pero;Por todavía;Por también;Por nunca;A
63;"¿Qué palabra del texto ejemplifica un triptongo con ""güéis""?";Estudiáis;Limpiéis;Averigüéis;Anunciáis;C
64;"¿Qué función gramatical tiene ""tu"" sin tilde?";Pronombre personal;Adjetivo posesivo;Verbo;Sustantivo;B
65;"¿Qué función tiene ""el"" sin tilde?";Pronombre personal;Verbo;Artículo determinado masculino singular;Adverbio;C
66;¿Qué se forma cuando aparece la combinación VD+VF+VD en una sola sílaba?;Diptongo;Hiato;Triptongo;Acento;C
67;"¿En qué casos la ""h"" intermedia impide la formación de diptongo o hiato?";Siempre lo impide;Nunca lo impide;Solo en palabras esdrújulas;Solo en palabras agudas;B
68;¿Qué diferencia al hiato acentual del diptongo?;El número de vocales;Que la vocal débil lleva obligatoriamente tilde destruyendo el diptongo;La posición de las vocales;El tipo de consonantes;B
69;"¿Cuál es la función de ""mí"" con tilde después de una preposición?";Adjetivo posesivo;Nota musical;Pronombre personal;Verbo;C
70;¿Qué indica que las palabras esdrújulas y sobreesdrújulas tienen en común?;Terminan en vocal;Siempre llevan tilde;Nunca llevan tilde;Solo llevan tilde si terminan en n, s o vocal;B
71;"¿Qué letra del abecedario español es la ""b""?";La primera;La segunda;La tercera;La cuarta;B
72;"¿Qué combinaciones se forman cuando la ""b"" va seguida de ""l""?";bla, ble, bli, blo, blu;bal, bel, bil, bol, bul;lab, leb, lib, lob, lub;alb, elb, ilb, olb, ulb;A
